model,image_id,region,income_quintile,ground_truth,predicted,error_type,sem_similarity,ctx_similarity,confidence,raw_response
qwen_vl,5ec4fb0ef0611d7ddd7424ec,af,Q2,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5d4bed54cf0b3a0f3f34f69e,af,Q2,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5d4be401cf0b3a0f3f33f53e,af,Q2,armchair,interior room,misclassification,0.3207,0.5333,,Interior room
qwen_vl,5d4bdf64cf0b3a0f3f337915,af,Q2,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5d4bdf59cf0b3a0f3f33781f,af,Q2,armchair,couch,correct,0.6176,0.5328,,Couch
qwen_vl,5d4bee45cf0b3a0f3f351178,af,Q2,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4be087cf0b3a0f3f339657,af,Q2,armchair,wooden bench,correct,0.5346,0.5113,,Wooden bench
qwen_vl,5d4bdee3cf0b3a0f3f336c1f,af,Q2,armchair,couch,correct,0.6176,0.5328,,Couch
qwen_vl,5ec4f9f2f0611d7ddd741bb3,af,Q2,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bdf35cf0b3a0f3f3374ab,af,Q2,armchair,wooden stool,correct,0.4696,0.5134,,Wooden stool
qwen_vl,5d4bdee1cf0b3a0f3f336be1,af,Q2,armchair,garage,misclassification,0.1838,0.5177,,garage
qwen_vl,5ec4facbf0611d7ddd7422b4,af,Q2,armchair,abstention,abstention,0.0,0.0,,Unknown
qwen_vl,5ec4f988f0611d7ddd741823,af,Q2,armchair,wicker chair with a colorful blanket,misclassification,0.4485,0.6284,,Wicker chair with a colorful blanket
qwen_vl,5d4bee5fcf0b3a0f3f351452,af,Q3,armchair,wooden chairs,correct,0.6101,0.5957,,Wooden chairs
qwen_vl,5d4be259cf0b3a0f3f33c8ff,af,Q3,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5ec4f9cbf0611d7ddd741a69,af,Q3,armchair,bamboo chair,correct,0.5178,0.6468,,Bamboo chair
qwen_vl,5ec4fa3af0611d7ddd741e1a,af,Q3,armchair,pot,misclassification,0.2464,0.5346,,Pot
qwen_vl,5d4bdf27cf0b3a0f3f33735f,af,Q3,armchair,swing chair,correct,0.5975,0.6372,,Swing chair
qwen_vl,5ec4f9def0611d7ddd741b0e,af,Q3,armchair,kitchen,misclassification,0.3395,0.5075,,Kitchen
qwen_vl,5d4be00acf0b3a0f3f3389bc,af,Q3,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5ec4f97df0611d7ddd7417ca,af,Q3,armchair,armchair,correct,1.0,0.7294,,Armchair
qwen_vl,5d4be286cf0b3a0f3f33cdfd,af,Q3,armchair,black sofa,correct,0.4837,0.5132,,Black sofa
qwen_vl,5d4bf233cf0b3a0f3f357e06,af,Q3,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5d4bf22dcf0b3a0f3f357d58,af,Q4,armchair,hallway with decorative chairs and rug,misclassification,0.3268,0.57,,Hallway with decorative chairs and rug
qwen_vl,5d4be234cf0b3a0f3f33c513,af,Q4,armchair,floral armchair,correct,0.7253,0.6671,,Floral armchair
qwen_vl,5d4be00fcf0b3a0f3f338a1c,af,Q5,armchair,striped recliner,misclassification,0.4132,0.5597,,Striped recliner
qwen_vl,5d4be61fcf0b3a0f3f343193,af,Q5,armchair,leather sofa,correct,0.5919,0.5125,,Leather sofa
qwen_vl,5ec4fa3ef0611d7ddd741e3f,af,Q5,armchair,leather armchair,correct,0.8307,0.6775,,Leather armchair
qwen_vl,5d4be7b6cf0b3a0f3f345f20,as,Q1,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4beb02cf0b3a0f3f34b82e,as,Q1,armchair,"women sitting on rocks, makeshift shelter, outdoor setting, clothing, accessories, debris",misclassification,0.2871,0.5142,,"Women sitting on rocks, makeshift shelter, outdoor setting, clothing, accessories, debris"
qwen_vl,5d4be765cf0b3a0f3f3455de,as,Q1,armchair,bamboo structure,misclassification,0.175,0.5021,,Bamboo structure
qwen_vl,5d4be7a1cf0b3a0f3f345ca6,as,Q1,armchair,plastic chairs,correct,0.5131,0.5952,,Plastic chairs
qwen_vl,5d4beeaecf0b3a0f3f351d72,as,Q1,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4beec9cf0b3a0f3f352084,as,Q1,armchair,red plastic chair,correct,0.4921,0.6414,,Red plastic chair
qwen_vl,5ec4f7f3f0611d7ddd740a97,as,Q1,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5d4beec2cf0b3a0f3f351fc2,as,Q1,armchair,wooden table,correct,0.4519,0.5205,,Wooden table
qwen_vl,5d4be6ebcf0b3a0f3f3448d2,as,Q1,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5d4bf2d3cf0b3a0f3f358faa,as,Q1,armchair,folded beach chair,correct,0.4643,0.6246,,folded beach chair
qwen_vl,5d4bef58cf0b3a0f3f35312a,as,Q1,armchair,wooden stool,correct,0.4696,0.5134,,Wooden stool
qwen_vl,5ec4f880f0611d7ddd740f5e,as,Q1,armchair,wooden box,misclassification,0.3131,0.5051,,Wooden box
qwen_vl,5d4bec81cf0b3a0f3f34e0a0,as,Q1,armchair,wooden chairs,correct,0.6101,0.5957,,Wooden chairs
qwen_vl,5d4bef5dcf0b3a0f3f3531d6,as,Q1,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bf2afcf0b3a0f3f358b50,as,Q1,armchair,plastic stool,misclassification,0.3673,0.5121,,Plastic stool
qwen_vl,5f638d0019b6556ad488a058,as,Q1,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5ec4f808f0611d7ddd740b55,as,Q1,armchair,wooden stool,correct,0.4696,0.5134,,Wooden stool
qwen_vl,5d4be73fcf0b3a0f3f3451b4,as,Q1,armchair,blue plastic stool,misclassification,0.2637,0.5104,,Blue plastic stool
qwen_vl,5d4bef7dcf0b3a0f3f35358a,as,Q2,armchair,tree stump,misclassification,0.2317,0.5006,,Tree stump
qwen_vl,5d4be788cf0b3a0f3f3459d2,as,Q2,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5d4bee6acf0b3a0f3f351590,as,Q2,armchair,cluttered room,misclassification,0.2901,0.534,,Cluttered room
qwen_vl,5d4beea8cf0b3a0f3f351cc8,as,Q2,armchair,bamboo chair,correct,0.5178,0.6468,,Bamboo chair
qwen_vl,5ec4f820f0611d7ddd740c1e,as,Q2,armchair,rope bed,misclassification,0.2623,0.5019,,Rope bed
qwen_vl,5d4be78fcf0b3a0f3f345ab8,as,Q2,armchair,green plastic chair,misclassification,0.4432,0.6425,,Green plastic chair
qwen_vl,5d4bedd2cf0b3a0f3f350532,as,Q2,armchair,picnic table,misclassification,0.3414,0.5106,,Picnic table
qwen_vl,5d4beed0cf0b3a0f3f35215c,as,Q2,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4beebccf0b3a0f3f351ef8,as,Q2,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4bef70cf0b3a0f3f353408,as,Q2,armchair,woven stool,misclassification,0.3411,0.5112,,Woven stool
qwen_vl,5ec4f829f0611d7ddd740c67,as,Q2,armchair,green stool,misclassification,0.3561,0.5126,,Green stool
qwen_vl,5d4bf138cf0b3a0f3f3562d2,as,Q2,armchair,outdoor seating area,misclassification,0.4374,0.5478,,Outdoor seating area
qwen_vl,5d4bf13ccf0b3a0f3f356356,as,Q2,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5d4bea5bcf0b3a0f3f34a470,as,Q2,armchair,red plastic chair,correct,0.4921,0.6414,,Red plastic chair
qwen_vl,5d4beea1cf0b3a0f3f351bf6,as,Q2,armchair,armchair,correct,1.0,0.7294,,Armchair
qwen_vl,5d4be780cf0b3a0f3f3458e6,as,Q2,armchair,shack interior,misclassification,0.1977,0.5149,,Shack interior
qwen_vl,5d4be781cf0b3a0f3f34590e,as,Q2,armchair,garden area,misclassification,0.2087,0.5006,,Garden area
qwen_vl,5ec4f811f0611d7ddd740b96,as,Q2,armchair,hammock,misclassification,0.3184,0.5145,,Hammock
qwen_vl,5d4bed0acf0b3a0f3f34ee5a,as,Q2,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5d4beeb5cf0b3a0f3f351e38,as,Q2,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4bf2b4cf0b3a0f3f358bf4,as,Q2,armchair,wooden stool,correct,0.4696,0.5134,,Wooden stool
qwen_vl,5d4bed14cf0b3a0f3f34ef70,as,Q2,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bf192cf0b3a0f3f356bd0,as,Q2,armchair,bench,correct,0.4695,0.5438,,Bench
qwen_vl,5ec4f8e9f0611d7ddd7412e5,as,Q2,armchair,red plastic chair,correct,0.4921,0.6414,,Red plastic chair
qwen_vl,5d4bee79cf0b3a0f3f351754,as,Q2,armchair,office chair,correct,0.674,0.6124,,Office chair
qwen_vl,5d4becfecf0b3a0f3f34ed4e,as,Q2,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5d4bef76cf0b3a0f3f3534c2,as,Q2,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5d4bdf04cf0b3a0f3f336fa5,as,Q2,armchair,leather armchair,correct,0.8307,0.6775,,Leather armchair
qwen_vl,5d4bf31bcf0b3a0f3f359810,as,Q2,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5f8c5d491268e908d38e85dc,as,Q2,armchair,stool,correct,0.4593,0.5454,,Stool
qwen_vl,5d4bf2e2cf0b3a0f3f35915e,as,Q2,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4bf313cf0b3a0f3f359738,as,Q2,armchair,red plastic chair,correct,0.4921,0.6414,,Red plastic chair
qwen_vl,5d4be774cf0b3a0f3f345788,as,Q2,armchair,plastic stools,misclassification,0.331,0.5022,,Plastic stools
qwen_vl,5d4be8c4cf0b3a0f3f3475e2,as,Q2,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4bf2a0cf0b3a0f3f358996,as,Q2,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4be775cf0b3a0f3f3457a6,as,Q2,armchair,black folding chair,correct,0.4575,0.6311,,Black folding chair
qwen_vl,5d4bedcecf0b3a0f3f3504b4,as,Q2,armchair,abandoned couch,misclassification,0.4337,0.5036,,Abandoned couch
qwen_vl,5ec4f7cff0611d7ddd74095d,as,Q2,armchair,plastic chairs,correct,0.5131,0.5952,,Plastic chairs
qwen_vl,5d4be9ddcf0b3a0f3f3496b0,as,Q2,armchair,room interior,misclassification,0.3164,0.5664,,Room interior
qwen_vl,5d4be384cf0b3a0f3f33e6cf,as,Q2,armchair,backpack on a chair,correct,0.4673,0.6174,,Backpack on a chair
qwen_vl,5d4bedd7cf0b3a0f3f3505c4,as,Q2,armchair,closet,misclassification,0.2996,0.5194,,Closet
qwen_vl,5d4becf4cf0b3a0f3f34ec16,as,Q2,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4bf18bcf0b3a0f3f356b04,as,Q3,armchair,"outdoor scene with a blue plastic chair, a wooden bench, and some tools leaning",misclassification,0.4334,0.5903,,"Outdoor scene with a blue plastic chair, a wooden bench, and some tools leaning"
qwen_vl,5d4beddbcf0b3a0f3f350644,as,Q3,armchair,cluttered room,misclassification,0.2901,0.534,,Cluttered room
qwen_vl,5d4bf289cf0b3a0f3f3586c2,as,Q3,armchair,desk,correct,0.5352,0.5052,,Desk
qwen_vl,5d4be1e3cf0b3a0f3f33bc51,as,Q3,armchair,rug,misclassification,0.3182,0.5082,,Rug
qwen_vl,5f1055559d62c591e251751a,as,Q3,armchair,plastic chairs,correct,0.5131,0.5952,,Plastic chairs
qwen_vl,5d4bf2e9cf0b3a0f3f359236,as,Q3,armchair,red plastic chair,correct,0.4921,0.6414,,Red plastic chair
qwen_vl,5d4be80ccf0b3a0f3f346835,as,Q3,armchair,outdoor furniture,misclassification,0.4213,0.5657,,Outdoor furniture
qwen_vl,5d4bf13fcf0b3a0f3f3563aa,as,Q3,armchair,veranda,misclassification,0.2334,0.5211,,Veranda
qwen_vl,5d4bf143cf0b3a0f3f35641a,as,Q3,armchair,leather armchair,correct,0.8307,0.6775,,Leather armchair
qwen_vl,5d4bf2dacf0b3a0f3f35907e,as,Q3,armchair,blue plastic chair,misclassification,0.4455,0.6439,,Blue plastic chair
qwen_vl,5d4bf181cf0b3a0f3f3569fe,as,Q3,armchair,foldable chair,misclassification,0.4464,0.6459,,Foldable chair
qwen_vl,5d4bf2a6cf0b3a0f3f358a32,as,Q3,armchair,plastic stool,misclassification,0.3673,0.5121,,Plastic stool
qwen_vl,5d4bee8fcf0b3a0f3f3519ec,as,Q3,armchair,office desk,correct,0.4515,0.5109,,Office desk
qwen_vl,5d4be2d3cf0b3a0f3f33d599,as,Q3,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4be1aecf0b3a0f3f33b781,as,Q3,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5d4be62fcf0b3a0f3f343363,as,Q3,armchair,man sitting on a bed in a room with a shelf and books,misclassification,0.2447,0.5208,,Man sitting on a bed in a room with a shelf and books.
qwen_vl,5d4bf136cf0b3a0f3f35629c,as,Q3,armchair,living room furniture,misclassification,0.4292,0.6075,,Living room furniture
qwen_vl,5d4be6afcf0b3a0f3f3441ea,as,Q3,armchair,bedroom,misclassification,0.3051,0.532,,Bedroom
qwen_vl,5d4bf2bacf0b3a0f3f358cae,as,Q3,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5ec4f7e3f0611d7ddd740a05,as,Q3,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4be9c5cf0b3a0f3f3493de,as,Q3,armchair,armchair,correct,1.0,0.7294,,Armchair
qwen_vl,5d4be0e6cf0b3a0f3f33a15b,as,Q3,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5d4be6decf0b3a0f3f344752,as,Q3,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5d4be708cf0b3a0f3f344c40,as,Q3,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5d4bf293cf0b3a0f3f3587fc,as,Q3,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4be716cf0b3a0f3f344dfe,as,Q3,armchair,red plastic stool,misclassification,0.3163,0.5074,,Red plastic stool
qwen_vl,5d4bf191cf0b3a0f3f356bb0,as,Q3,armchair,blue folding chair,correct,0.4503,0.6301,,Blue folding chair
qwen_vl,5d4bf299cf0b3a0f3f3588be,as,Q3,armchair,stool,correct,0.4593,0.5454,,Stool
qwen_vl,5d4be7f3cf0b3a0f3f346565,as,Q3,armchair,cat on a chair,misclassification,0.3611,0.5712,,Cat on a chair
qwen_vl,5d4be2a7cf0b3a0f3f33d13b,as,Q3,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4bf414cf0b3a0f3f35b07e,as,Q3,armchair,rattan chair,correct,0.5469,0.6525,,Rattan chair
qwen_vl,5d4bf17ccf0b3a0f3f35695c,as,Q3,armchair,plastic chairs,correct,0.5131,0.5952,,Plastic chairs
qwen_vl,5d4be71acf0b3a0f3f344e60,as,Q3,armchair,balcony,misclassification,0.3547,0.5167,,Balcony
qwen_vl,5d4bf066cf0b3a0f3f354dba,as,Q3,armchair,couch,correct,0.6176,0.5328,,Couch
qwen_vl,5d4beb93cf0b3a0f3f34c7b0,as,Q3,armchair,plastic chairs,correct,0.5131,0.5952,,Plastic chairs
qwen_vl,5d4be704cf0b3a0f3f344bcc,as,Q3,armchair,"outdoor table with newspapers, shoes, and a wooden cabinet",misclassification,0.3216,0.5129,,"Outdoor table with newspapers, shoes, and a wooden cabinet."
qwen_vl,5d4be7e8cf0b3a0f3f346417,as,Q3,armchair,bedroom,misclassification,0.3051,0.532,,Bedroom
qwen_vl,5d4be7edcf0b3a0f3f34649f,as,Q3,armchair,wooden stool,correct,0.4696,0.5134,,Wooden stool
qwen_vl,5d4bf078cf0b3a0f3f354f6c,as,Q3,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5d4bee81cf0b3a0f3f35184c,as,Q3,armchair,wooden chairs,correct,0.6101,0.5957,,Wooden chairs
qwen_vl,5d4be18dcf0b3a0f3f33b3b1,as,Q3,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5d4be7f2cf0b3a0f3f346531,as,Q3,armchair,wooden table,correct,0.4519,0.5205,,Wooden table
qwen_vl,5d4be6fccf0b3a0f3f344ad2,as,Q3,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bedc8cf0b3a0f3f35040e,as,Q4,armchair,table with chairs,correct,0.4793,0.5987,,Table with chairs
qwen_vl,5d4bea39cf0b3a0f3f34a082,as,Q4,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4bf2bfcf0b3a0f3f358d36,as,Q4,armchair,abstention,abstention,0.0,0.0,,Unknown
qwen_vl,5d4bee8bcf0b3a0f3f351970,as,Q4,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5edfe6d212a022d41687ea3a,as,Q4,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5d4be534cf0b3a0f3f3417f6,as,Q4,armchair,couch,correct,0.6176,0.5328,,Couch
qwen_vl,5d4be4b6cf0b3a0f3f340968,as,Q4,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5d4be159cf0b3a0f3f33aea9,as,Q4,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5d4bdfc9cf0b3a0f3f3382e8,as,Q4,armchair,armchair,correct,1.0,0.7294,,Armchair
qwen_vl,5d4be64dcf0b3a0f3f3436c9,as,Q4,armchair,table and chairs,correct,0.5148,0.5947,,Table and chairs
qwen_vl,5d4be100cf0b3a0f3f33a453,as,Q4,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5d4bdfeecf0b3a0f3f338710,as,Q4,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5d4be7f7cf0b3a0f3f3465db,as,Q4,armchair,leather armchair,correct,0.8307,0.6775,,Leather armchair
qwen_vl,5d4be655cf0b3a0f3f3437b9,as,Q4,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5d4be31ecf0b3a0f3f33dc45,as,Q4,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bf2f0cf0b3a0f3f359322,as,Q4,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4be7ffcf0b3a0f3f3466bd,as,Q4,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5d4be06ecf0b3a0f3f33936e,as,Q4,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bf17acf0b3a0f3f35692c,as,Q4,armchair,laptop on a coffee table,misclassification,0.2866,0.5229,,Laptop on a coffee table
qwen_vl,5ec4f876f0611d7ddd740f03,as,Q4,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4be0b5cf0b3a0f3f339b9b,as,Q4,armchair,plastic chairs,correct,0.5131,0.5952,,Plastic chairs
qwen_vl,5d4bef51cf0b3a0f3f353062,as,Q4,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5ec4fabcf0611d7ddd74222e,as,Q4,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5d4be6b9cf0b3a0f3f34430a,as,Q4,armchair,bicycle,misclassification,0.3039,0.5029,,Bicycle
qwen_vl,5d4be0c0cf0b3a0f3f339cdb,as,Q4,armchair,l-shaped sofa,correct,0.4589,0.5233,,L-shaped sofa
qwen_vl,5ec4f7f8f0611d7ddd740ac2,as,Q4,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5d4be13ccf0b3a0f3f33ab49,as,Q4,armchair,couch,correct,0.6176,0.5328,,Couch
qwen_vl,5d4bdf10cf0b3a0f3f3370d3,as,Q4,armchair,covered sofa,correct,0.5049,0.5154,,Covered sofa
qwen_vl,5d4be0becf0b3a0f3f339ca5,as,Q4,armchair,office chair,correct,0.674,0.6124,,Office chair
qwen_vl,5d4be836cf0b3a0f3f346ca7,as,Q4,armchair,cow-patterned chair,correct,0.4533,0.6426,,Cow-patterned chair
qwen_vl,5d4be12bcf0b3a0f3f33a949,as,Q5,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bf4a8cf0b3a0f3f35bfb2,as,Q5,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5ec4f963f0611d7ddd7416f3,as,Q5,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4be81fcf0b3a0f3f346a59,as,Q5,armchair,dining area,misclassification,0.3355,0.5085,,Dining area
qwen_vl,5d4be11ccf0b3a0f3f33a78b,as,Q5,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4be05dcf0b3a0f3f339198,as,Q5,armchair,office chair,correct,0.674,0.6124,,Office chair
qwen_vl,5d4bef64cf0b3a0f3f353296,as,Q5,armchair,armchair,correct,1.0,0.7294,,Armchair
qwen_vl,5d4bdff7cf0b3a0f3f33880e,as,Q5,armchair,office chair,correct,0.674,0.6124,,Office chair
qwen_vl,5d4be70dcf0b3a0f3f344cd8,as,Q5,armchair,massage chair,correct,0.5518,0.6392,,Massage chair
qwen_vl,5d4be827cf0b3a0f3f346adf,as,Q5,armchair,dining table and chairs,misclassification,0.4408,0.5702,,Dining table and chairs
qwen_vl,5d4be828cf0b3a0f3f346b03,as,Q5,armchair,bedroom,misclassification,0.3051,0.532,,Bedroom
qwen_vl,5d4be133cf0b3a0f3f33aa2f,as,Q5,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4be13acf0b3a0f3f33ab19,as,Q5,armchair,office chair,correct,0.674,0.6124,,Office chair
qwen_vl,5d4be0e8cf0b3a0f3f33a195,as,Q5,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5d4be641cf0b3a0f3f343569,as,Q5,armchair,home office,misclassification,0.3301,0.525,,Home office
qwen_vl,5d4be0accf0b3a0f3f339a8f,as,Q5,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5ec4f946f0611d7ddd7415f3,as,Q5,armchair,bean bag chair,correct,0.4804,0.5954,,Bean bag chair
qwen_vl,5d4be058cf0b3a0f3f3390f2,as,Q5,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4be114cf0b3a0f3f33a697,as,Q5,armchair,living room,misclassification,0.3175,0.5534,,Living room
qwen_vl,5d4be975cf0b3a0f3f348a7c,as,Q5,armchair,armchairs,correct,0.9189,0.7024,,Armchairs
qwen_vl,5d4be812cf0b3a0f3f3468cb,as,Q5,armchair,massage chair,correct,0.5518,0.6392,,Massage chair
qwen_vl,5d4bf1eecf0b3a0f3f35760a,am,Q1,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4bf1c7cf0b3a0f3f357190,am,Q1,armchair,abstention,abstention,0.0,0.0,,Unknown
qwen_vl,5d4bf218cf0b3a0f3f357aee,am,Q1,armchair,plastic chair,correct,0.5584,0.635,,Plastic chair
qwen_vl,5d4be635cf0b3a0f3f34341d,am,Q1,armchair,shanty house interior,misclassification,0.1893,0.5141,,Shanty house interior
qwen_vl,5d4be665cf0b3a0f3f34399d,am,Q1,armchair,shanty house interior,misclassification,0.1893,0.5141,,Shanty house interior
qwen_vl,5d4bf1a8cf0b3a0f3f356e06,am,Q1,armchair,kitchen,misclassification,0.3395,0.5075,,Kitchen
qwen_vl,5d4bf249cf0b3a0f3f358038,am,Q2,armchair,laundry basket,misclassification,0.1083,0.5029,,Laundry basket
qwen_vl,5d4bf270cf0b3a0f3f3583d0,am,Q2,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4bdfa4cf0b3a0f3f337fab,am,Q2,armchair,wooden bench,correct,0.5346,0.5113,,Wooden bench
qwen_vl,5d4bec65cf0b3a0f3f34ddb8,am,Q2,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5f42ddd4ebd73b1d9779c333,am,Q2,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5ec4fb7ff0611d7ddd74289d,am,Q2,armchair,chair,correct,0.7285,0.6782,,Chair
qwen_vl,5ec4f88df0611d7ddd740fbf,am,Q2,armchair,wooden chair,correct,0.6617,0.6352,,Wooden chair
qwen_vl,5d4be163cf0b3a0f3f33afc7,am,Q2,armchair,plastic stool,misclassification,0.3673,0.5121,,Plastic stool
qwen_vl,5d4bdfa0cf0b3a0f3f337f51,am,Q3,armchair,bed,misclassification,0.3012,0.5124,,Bed
qwen_vl,5ec4fb67f0611d7ddd7427cd,am,Q3,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5ec4fb57f0611d7ddd742753,am,Q3,armchair,armchair,correct,1.0,0.7294,,Armchair
qwen_vl,5d4be14ccf0b3a0f3f33ad1b,am,Q3,armchair,couch,correct,0.6176,0.5328,,Couch
qwen_vl,5d4be173cf0b3a0f3f33b1bb,am,Q3,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5d4bebc1cf0b3a0f3f34ccf5,am,Q3,armchair,laundry room,misclassification,0.2039,0.5109,,Laundry room
qwen_vl,5d4be192cf0b3a0f3f33b44b,am,Q3,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5ec4f759f0611d7ddd74054a,am,Q3,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5ec4f769f0611d7ddd7405d5,am,Q3,armchair,rocking chair,correct,0.5588,0.6389,,Rocking chair
qwen_vl,5d4bdeb0cf0b3a0f3f336749,am,Q3,armchair,bicycle,misclassification,0.3039,0.5029,,Bicycle
qwen_vl,5ec4fb31f0611d7ddd74260d,am,Q3,armchair,sofa,correct,0.6299,0.5283,,Sofa
qwen_vl,5d4be19ccf0b3a0f3f33b55d,am,Q3,armchair,sofa with blanket,correct,0.4511,0.5095,,Sofa with blanket
qwen_vl,5d4be541cf0b3a0f3f341972,am,Q3,armchair,polka dot bean bag chair,misclassification,0.4382,0.6009,,Polka dot bean bag chair
qwen_vl,5d4bf407cf0b3a0f3f35af0e,am,Q3,armchair,dining table,misclassification,0.4072,0.5121,,Dining table
qwen_vl,5d4bde33cf0b3a0f3f335baf,am,Q3,armchair,"outdoor area with plastic chairs, garbage bags, and a ball",misclassification,0.2594,0.534,,"Outdoor area with plastic chairs, garbage bags, and a ball."
qwen_vl,5d4be3c3cf0b3a0f3f33ee17,am,Q3,armchair,kitchen,misclassification,0.3395,0.5075,,Kitchen
qwen_vl,5d4be3c6cf0b3a0f3f33ee73,am,Q3,armchair,toy box,misclassification,0.1845,0.5033,,Toy box
qwen_vl,5d4bde4fcf0b3a0f3f335e55,am,Q3,armchair,red wingback chair,correct,0.5473,0.6228,,Red wingback chair
qwen_vl,5d4be424cf0b3a0f3f33f94c,am,Q3,armchair,dining table,misclassification,0.4072,0.5121,,Dining table
qwen_vl,5fa557870bd7ad6724b610ab,am,Q3,armchair,office chair,correct,0.674,0.6124,,Office chair
